,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
488,"RT @Claire53743523: Hope the ""peaceful"" guys to stop and wake up. Give the real peace to Hong Kong. You can fight for freedom in a peaceful…",Wed,Aug,14,02,0,0,0,0,9,0,5,eileen_tian,eileentian1
489,"RT @Claire53743523: Hope the ""peaceful"" guys to stop and wake up. Give the real peace to Hong Kong. You can fight for freedom in a peaceful…",Wed,Aug,14,02,0,0,0,0,9,1,23,王云,T3QEFZATrsIiEiZ
490,@mfiveq @nytimes Exactly..... from being purposeful to being purposeless.... from being protestors to being rioters.... from 'anti-extradition' to 'fight for democracy' and 'freedom for Hong Kong'... and terrorising tourists... #HongKong #HongKongProtests #riots #terrorism,Wed,Aug,14,02,1,0,1,1,0,1147,4980,Limited Edition,ronyeap
491,"RT @Claire53743523: Hope the ""peaceful"" guys to stop and wake up. Give the real peace to Hong Kong. You can fight for freedom in a peaceful…",Wed,Aug,14,02,0,0,0,0,9,3,18,Gong Jane,GongJane
492,"RT @Matthew_Kupfer: “We are strongly aware of, and inspired by, a documentary named Winter on Fire… and by how the people in #Ukraine start…",Wed,Aug,14,01,1,0,0,0,30,380,828,Motria Caudill,motinka
493,"Hong Kong wants a Bill of Rights. So they hit travelers？lol，if you really want free and peace，you will not do that. I respect to everyone who fight for freedom.But it isn’t fight to freedom,it’s violence.#HongKong #Hongkongprotest",Wed,Aug,14,01,1,0,3,0,0,1,18,ソー,abnormalpear_
494,"Hope the ""peaceful"" guys to stop and wake up. Give the real peace to Hong Kong. You can fight for freedom in a peaceful way, instead of violence! Hong Kong was a beautiful city ,but now... I love China. I love Hong Kong . Stop hurting them!#HongKongAirport #HongKongProtesters https://t.co/4dV6b7jUie",Wed,Aug,14,01,1,0,118,0,9,3,23,Claire,Claire53743523
495,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Wed,Aug,14,00,0,0,0,0,43,60,221,Shirley hong kong is my home,ILoveMHikora
496,"RT @zeynep: Airport protesters are still greeting the last arrivals, chanting “stand with Hong Kong, fight for freedom.” #antiELAB #Hongkon…",Wed,Aug,14,00,1,0,0,0,38,398,1906,Trump puts the POS in POTUS 🇺🇸,GrouchoMarx1011
497,"Coyne: Hong Kong’s fight for freedom is our fight, too | Montreal Gazette https://t.co/PB6ZAmwsSb #HongKong",Tue,Aug,13,22,1,1,1,0,0,399,1427,AngelNEWS1111,AngelNEWS1111
498,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,22,1,0,0,0,32,919,4999,John F Norton Jr.,JohnNorton30
499,"Regardless, #Bitcoin will not bow down to #Beijing (CCP) - ever. For our #HongKong friends (not the greedy, selfish, CCP compromised Hong Kong billionaires, but the courageous HK souls fighting the good fight for their freedom [not ethnic supremacy, cf. China]), and for humanity. https://t.co/ghqFvyMGgT",Tue,Aug,13,22,1,1,1,0,0,1249,5001,Tola`ath,rosharonn
500,"RT @zeynep: Airport protesters are still greeting the last arrivals, chanting “stand with Hong Kong, fight for freedom.” #antiELAB #Hongkon…",Tue,Aug,13,21,1,0,0,0,38,1175,1705,Anonymous ⚖️,capidanMar
501,"Assault on #HongKong would have to spell a cataclysmic reset in #China’s relations with the world: severest of sanctions, end to One China policy, renewed commitment to defence of Taiwan. In the end, like the protesters, we have no choice. #uspoli #cdnpoli https://t.co/gEiReCtRV0",Tue,Aug,13,21,1,1,0,0,0,1188,975,murdoch davis,murdochdavis
502,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,21,1,0,0,0,32,177,216,connienowak654@gmail.com,connienowak6541
503,"RT @kevinluikf: ""Fight for Freedom, Stand with Hong Kong!"" — a chant I've not hear before, maybe customised for @hkairport? Fits in with th…",Tue,Aug,13,21,0,0,0,0,17,2878,3681,BlueStateEscapee,Lurkt
504,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,20,1,0,0,0,32,31,111,Sarah Smith,sarahdiliz
505,"#Hongkongprotest which began as a fight against an extradition bill have more broadly morphed into a call for free elections, which largely do not exist in China. To Beijing, it would be a direct challenge to the leadership https://t.co/EETnUqNXqj",Tue,Aug,13,20,1,1,0,0,1,32975,2762,Andreas Harsono,andreasharsono
506,"if you think our name &amp; our flag don't still represent freedom, you are being willfully ignorant.  people in Hong Kong are waving our flag and singing our anthem as they fight for their freedom.  the left may not thing this country is great, but the people of #HongKong do. https://t.co/AaEGKpx0hY",Tue,Aug,13,20,1,1,2,0,0,1623,3306,jonas the hillbilly🇺🇸⭐️⭐️⭐️,spacebabyjonas
507,"BREAKING: Hong Kong protesters still remain strong at the airport despite government concerns. Read more here: https://t.co/KX2qtnsjsB

#HongKongAirport #Hongkongprotest https://t.co/fHqe4t7Axv",Tue,Aug,13,20,1,1,2,0,0,0,1,practicefaces,practicefaces
508,"I stand with all the chinese people who are bravely standing against communism and who have the courage to do what they are doing. Don't back down Hong Kong, fight for your freedom. #HongKongAirport #HongKong #HongKongProtests #CommunismKills https://t.co/JrYPoLjlAo",Tue,Aug,13,19,1,1,2,0,0,41,65,Sergio Presa Jr,spjr18
509,RT @GarrDeMoy: I want to thank all the protesters in Hong Kong 🇭🇰 for helping to fight for the rights of all citizens. Your bravery to figh…,Tue,Aug,13,19,0,0,0,0,3,4024,5000,FreeThinkingPatriot #SunshineBestGovtDisinfectant,StillFreeSCOTTY
510,RT @GarrDeMoy: I want to thank all the protesters in Hong Kong 🇭🇰 for helping to fight for the rights of all citizens. Your bravery to figh…,Tue,Aug,13,19,0,0,0,0,3,2,22,hgcpsk,hgcpsk1
511,RT @GarrDeMoy: I want to thank all the protesters in Hong Kong 🇭🇰 for helping to fight for the rights of all citizens. Your bravery to figh…,Tue,Aug,13,19,0,0,0,0,3,1861,3754,In case u forgot tp,nodailyshitnews
512,I want to thank all the protesters in Hong Kong 🇭🇰 for helping to fight for the rights of all citizens. Your bravery to fight for your own people is highly respectable and selfless. From America with love❤️ you got this!#HongKongProtesters #HongKongAirport #FromAmericaWithLove,Tue,Aug,13,19,1,0,7,0,3,172,1049,Garry Moyer,GarrDeMoy
513,"""Hong Kong’s fight is our fight"". 

It is, or at least should be.  But Canada and the other free countries of the world have ignored the pleas of the brave people of #HongKong.  

It's this indifference or cowardice, take your pick, that emboldens China.

https://t.co/PNnx3HdElx",Tue,Aug,13,19,1,1,4,0,0,397,441,Erinn Broshko,ebroshko
514,RT @Thetruewitch: Be strong and fight for a democratic Hong Kong ... I am with you in my thoughts ... Never give up...#HongKongAirport #Hon…,Tue,Aug,13,19,1,0,0,0,1,193,1027,Katweazle73,Katweazle73
515,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,19,1,0,0,0,32,341,379,Cynthia Sullivan,casullivan61
516,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,19,1,0,0,0,32,6340,1201,Sophie Beach,sophie_beach
517,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,19,1,0,0,0,32,208,644,Peach Delphine,PeachDelphine
518,Be strong and fight for a democratic Hong Kong ... I am with you in my thoughts ... Never give up...#HongKongAirport #HongKong https://t.co/egvOdusKHu,Tue,Aug,13,19,1,1,2,0,1,1402,1197,🧙🏼‍♀️Hexi 🇪🇺😼,Thetruewitch
519,"Wilfred Chan: Contrary to China's accusations that the #HongKong protests are being propped up by nefarious Western agents, there is little indication the West craves any involvement.  https://t.co/Ml1JR372s4 @DissentMag #neoliberalism #China #Beijing #HongKongprotests #Trump",Tue,Aug,13,19,1,1,2,0,1,17215,14260,Sam Pye,freddie1999
520,"https://t.co/dQea417wfT

We'll trade you some American Leftists for Hong Kong patriots any day. Godspeed, heroes! #Hongkongprotest",Tue,Aug,13,18,1,1,4,0,1,608,1084,⚡Son of Thor⚡,ChairmanMoo
521,"Andrew Coyne: Hong Kong’s fight for freedom is our fight, too – Calgary Herald #HongKongAirport #Hongkongprotest  https://t.co/Sualg99R8o",Tue,Aug,13,18,1,1,0,0,0,398,1273,Lilian Chau,soyabeanlc
522,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,18,1,0,0,0,32,1447,695,Shauneen M🇨🇦🤜🏻🤛🏻🇱🇷🌊#VoteBlue2020,smcenturff
523,"""Hong Kong's children become soldiers in this summer.""

Everytime I think about this photo, I just feel so much sadness in my mind.
In this summer, they are forced to grow up and stand up to fight for freedom.
#HongKong #Hongkongprotest #PrayforHongKong https://t.co/SZ97YD19nW",Tue,Aug,13,18,1,0,0,0,0,86,293,Shine,hotpletw
524,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,18,1,0,0,0,32,758,860,GodnCountry,dibur316
525,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,579,696,kristak,kristarchy
526,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,1459,1366,Dark Matter,EnterGalactic_
527,Hong Kong people must now fight for its independence. #HongKong,Tue,Aug,13,17,1,0,0,0,0,896,89,Rogelio Chongko,jun_chongko
528,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,581,531,Nulla dies sine linea,moodylonerphile
529,I truly feel for these protesters in Hong Kong who know firsthand what it's like to fight for democracy - unlike America's liberal Democrats who want to give it up for socialism! #HongKongAirport #DemocratSocialistsAreDestroyingAmerica #LiberalLogic #HongKong #Trump2020 #KAG2020,Tue,Aug,13,17,1,0,1,0,1,557,1336,❌SoarLikeTheEagle❌,WPCreations1
530,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,6957,1384,Jackie Pepper ✊🏽☮️🌊,Jackie_Pepper
531,"RT @iicdkirten: Bully the weak/innocent, block the ambulance, fight the policeman. Blood. Violence. Discrimination. This is what democracy,…",Tue,Aug,13,17,0,0,0,0,3,4,32,orangePink,C_Sfs
532,"RT @iicdkirten: Bully the weak/innocent, block the ambulance, fight the policeman. Blood. Violence. Discrimination. This is what democracy,…",Tue,Aug,13,17,0,0,0,0,3,1,11,Cécilia,llu_u
533,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,676,4957,HoldYourHeadHigh,Rangerjoe63Dot
534,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,113,990,Freedom for Hong Kong,5n20_Blackbirds
535,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,455,600,NorCalGirl,barbara_lannum
536,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,3957,4338,Bec,beccanalia
537,"Bully the weak/innocent, block the ambulance, fight the policeman. Blood. Violence. Discrimination. This is what democracy, freedom, liberty looks like in Hong Kong. Riots/ Protesters ruined what they initially asked for. #HongKong #HongKongAirport #HongKongPolice https://t.co/r4r6IOR2HE",Tue,Aug,13,17,1,0,13,0,3,0,8,kkirsten,iicdkirten
538,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,629,1059,Javier Barberan,Toyoking
539,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,1288,450,Vijay ‘it was all a green dream’ Das,vijdas
540,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,600,1402,D Day,adayatech
541,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,132,839,Eyo,Eyo73942929
542,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,236,776,ocean calligraphy,oceancalligrphy
543,@realDonaldTrump #HongKong 🙏 Prayers for the People of Hong Kong and their fight for Independence from brutal soul crushing Marxism,Tue,Aug,13,17,1,0,1,1,0,1068,1093,Mostest Deplorablist,VenettasComment
544,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,10309,11348,Steve Rhodes,tigerbeat
545,"RT @RepBarbaraLee: The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fig…",Tue,Aug,13,17,1,0,0,0,32,1460,853,Olivia Chow,livlylife
546,"The courageous people of #HongKong are fighting for democracy, freedom, and human rights. I stand with them in their fight to preserve democratic freedoms and the rule of law.   https://t.co/1lFTS3jcnG",Tue,Aug,13,17,1,1,121,0,32,244122,16284,Rep. Barbara Lee,RepBarbaraLee
547,"The reasons #HongKongProtesters can come together to fight for their rights are:

1. They can come together
2. They can all agree violations of human rights are bad
3. They understand in order to enact change you fight

America has some serious lessions to learn from Hong Kong.",Tue,Aug,13,17,1,0,1,0,0,3152,3778,Her Lady Frost,lillyfrostSD
548,#HongKongProtesters  have seen for years what happens if you don't fight for your rights against totalitarian governments. The threats of China's system are on full display as it moves troops to the border and the people of Hong Kong are fighting for their freedoms. #HongKong,Tue,Aug,13,17,1,0,0,0,0,90,327,Justin Saba,SabaJustin
549,RT @Progresscdn: Trudeau and his government literally couldn't have given a weaker statement on the ongoing fight for democracy in Hong Kon…,Tue,Aug,13,17,0,0,0,0,3,814,892,Meagan Wiper 🌹🥚🥤🍊⚽☠️,MegW613
550,"RT @Realsashatoth: Hey @JustinTrudeau and @cathmckenna are there any plans to take in refugees from Hong Kong? 

Or do you believe they sho…",Tue,Aug,13,16,0,0,0,0,1,3092,4392,The Tinfoil Tricorn 🇺🇸,TinfoilTricorn
551,"Hey @JustinTrudeau and @cathmckenna are there any plans to take in refugees from Hong Kong? 

Or do you believe they should stay and fight for their country? 

Asking for a friend  #Taiwan #HongKong #ChinaisCrap #CrapChina #CanadaIsChina #HongKongAirport #HongKongProtesters https://t.co/O01G5dAMPd",Tue,Aug,13,16,1,0,7,0,1,725,35,Sasha Toth,Realsashatoth
552,RT @pattykazUSA: I’m praying for you Hong Kong protestors. They know if they lose this fight they will lose their civil liberties. #HongKon…,Tue,Aug,13,16,0,0,0,0,3,303,327,Angel Forfivon,angelforfivon
553,RT @pattykazUSA: I’m praying for you Hong Kong protestors. They know if they lose this fight they will lose their civil liberties. #HongKon…,Tue,Aug,13,16,0,0,0,0,3,2363,2898,Ruaridh Arrow,ArrowontheHill
554,I’m praying for you Hong Kong protestors. They know if they lose this fight they will lose their civil liberties. #HongKong https://t.co/AosdJa0xDM,Tue,Aug,13,16,1,1,3,0,3,1799,3302,♥️Truth♥️,pattykazUSA
555,"this makes me anxious. I feel so much for the people who fight for #democracy. 

https://t.co/wziJCh4frL
I stood on the street in Nov/Dec 1989 during Velvet revolution in Czechoslovakia, demonstrating, saying no to f** communists 
#humanrights #politics #freedom #hongkong",Tue,Aug,13,16,1,1,1,0,0,4965,4594,Eva Caletkova,EvaCaletkova
556,"RT @draws_ha: A little support from Korea for you, protesters of Hong Kong.
Fight and win. Rage against your oppressors. 
See you on the ot…",Tue,Aug,13,15,0,0,0,0,1,453,584,pennycatlover,mmkjw2
557,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,15,0,0,0,0,43,339,1510,chris_bautista,chris_bautista
558,"God protect the people of Hong Kong. Never give up in your fight for your God-given Liberty! 
#HongKongAirport #Hongkongprotest",Tue,Aug,13,15,1,0,0,0,0,140,440,Mark Aleksandrovich,MarkDL95
559,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,14,0,0,0,0,43,1799,1331,James Thorburn 🌐,James_Thorburn
560,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,14,0,0,0,0,43,462,1406,Fab Sabs,FabsabsPete
561,"A little support from Korea for you, protesters of Hong Kong.
Fight and win. Rage against your oppressors. 
See you on the other, democratic side.
#Hongkongprotest #HongKongProtesters #HongKong https://t.co/stspMKWCLz",Tue,Aug,13,14,1,0,2,0,1,11,247,Dave Ha,draws_ha
562,RT @matthewwalton90: Why are we not more outraged about what is happening to Hong Kong?  Any citizen of a democratic nation should be outra…,Tue,Aug,13,14,0,0,0,0,2,39,499,TvR,TTTVRN
563,RT @matthewwalton90: Why are we not more outraged about what is happening to Hong Kong?  Any citizen of a democratic nation should be outra…,Tue,Aug,13,14,0,0,0,0,2,321,227,Katy,LifeasKatyB
564,Why are we not more outraged about what is happening to Hong Kong?  Any citizen of a democratic nation should be outraged.  We are all Hong Kong. #HongKong @acoyne https://t.co/T1gX9sYzwZ,Tue,Aug,13,14,1,1,4,0,2,251,904,Matthew Walton,matthewwalton90
565,RT @Progresscdn: Trudeau and his government literally couldn't have given a weaker statement on the ongoing fight for democracy in Hong Kon…,Tue,Aug,13,14,0,0,0,0,3,40,206,Marx,Marxus20353883
566,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,14,0,0,0,0,43,1067,611,Neighbor Democracy,industrialdemoc
567,"Trudeau and his government literally couldn't have given a weaker statement on the ongoing fight for democracy in Hong Kong.

This government is beyond embarrassing when it comes to standing up for difficult but just issues. #cdnpoli #HongKong 
https://t.co/Y9Ft4BUUbl",Tue,Aug,13,14,1,1,9,0,3,3783,4979,Progress Canada,Progresscdn
568,RT @Mark3Ds: @TerryGlavin @rolandparis @nspector4 @nytimes @CliveCHamilton @cburton001 @FredLitwin @raykwong @vshih2 @GordonGChang @David_M…,Tue,Aug,13,14,0,0,0,0,8,3426,440,Jeremy Nuttall |纳兰展眉,Nuttallreports
569,"RT @zeynep: Airport protesters are still greeting the last arrivals, chanting “stand with Hong Kong, fight for freedom.” #antiELAB #Hongkon…",Tue,Aug,13,13,1,0,0,0,38,80,120,Maimuna Mohammed,maymunah7
570,"Andrew Coyne: Hong Kong’s fight for freedom is our fight, too – western governments failing #HongKong #worldnews #HongKongProtests #uspoli  https://t.co/dTM5XzcD4O",Tue,Aug,13,13,1,1,1,0,0,4012,508,BC NewsWire,BCNewsWire
571,"My mind and heart are in Hong Kong where freedom and democracy are fought and this fight is essential for the future of thousands of people.

#HongKong #people #future #asia #China",Tue,Aug,13,13,1,0,0,0,0,51,53,Adam Gaborík,AGaborim
572,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,13,0,0,0,0,43,379,1116,sean is partially mute now?,motivasean_
573,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,13,0,0,0,0,43,456,423,#LOONACON,jxandrexng
574,"@KayaJones Very Brave people, God bless the people of Hong Kong &amp; their fight for democracy ! 🇭🇰🇬🇧🇺🇸👏🙏

#hongkong",Tue,Aug,13,13,1,0,1,1,0,293,541,ASH,ASH_LV17
575,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,13,0,0,0,0,43,47,223,AlohaWorld,NotSurePolitics
576,"RT @hkcivil_justice: We fight for what we believe is right, and apologize for what we have done wrong. Hong Kong young people are not prote…",Tue,Aug,13,13,0,0,0,0,8,122,71,The Lavender Garden,ChinaGroveNC
577,"RT @AthenaCDaily: More protesters started to gather in Terminal 2. They blocked the departure way with multiple trolleys, and chanted “Figh…",Tue,Aug,13,12,0,0,0,0,43,231,1148,Alex Oxford,realAlexOxford
578,RT @Mark3Ds: @TerryGlavin @rolandparis @nspector4 @nytimes @CliveCHamilton @cburton001 @FredLitwin @raykwong @vshih2 @GordonGChang @David_M…,Tue,Aug,13,12,0,0,0,0,8,223,1306,JCBslide,g_birdslide
579,"RT @ICatalans: @joshuawongcf This is the real Chinese authorities action. A shame all over the world for democrats.
Catalonia are with you…",Tue,Aug,13,12,0,0,0,0,1,2235,1,#Catalonia,CatalanRobot
